Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
1.000626901	blackscholes	1	710.4	36.5	5.056	0.728	356261731	2006366	51914139	101080675	129653130	972863
1.5009303	blackscholes	1	710.4	36	5.056	0.728	358689437	1951800	54471950	107071441	133210709	970342
2.001232813	blackscholes	1	710.4	36.5	5.056	0.728	368936865	1958089	56547513	110756712	137535849	1000108
2.066209151	blackscholes	1	710.4	36.5	5.056	0.728	55022534	294063	6814978	12681323	18243055	157583
0.500240383	blackscholes	1	921.6	36	5.056	0.849	464164894	2580646	67545299	132312427	168017886	1213754
1.000525923	blackscholes	1	921.6	36.5	5.056	0.889	459817439	2460806	66066024	129347836	163820393	1208067
1.50078141	blackscholes	1	921.6	36.5	5.048	0.928	463427197	2414603	69909480	137482062	169136848	1208624
1.636303079	blackscholes	1	921.6	36.5	5.048	0.888	148396292	764633	19449504	37224047	50344418	399478
0.500177627	blackscholes	1	921.6	36	5.056	0.808	465175983	2568888	67793881	132605296	168267320	1231545
1.000496195	blackscholes	1	921.6	36.5	5.048	0.888	463257143	2480327	66583138	130172374	165131851	1220645
1.50076221	blackscholes	1	921.6	36.5	5.056	0.889	460654073	2382972	69629322	137028055	168248695	1202171
1.638947123	blackscholes	1	921.6	36.5	5.048	0.928	153071580	791565	20046573	38204048	51961465	416126
0.500259822	blackscholes	1	921.6	36.5	5.056	0.768	461100537	2567980	67192771	131599768	167088284	1206156
1.000675222	blackscholes	1	921.6	36.5	5.056	0.889	464687135	2490213	67146727	131376209	166091443	1239675
1.500988796	blackscholes	1	921.6	36.5	5.056	0.889	464350042	2414005	70074929	137751282	169671685	1232862
1.629713113	blackscholes	1	921.6	36.5	5.048	0.888	142195029	725783	18797245	36022415	48503415	384299
0.500171701	blackscholes	1	1036.8	36.5	5.056	0.808	521278774	2853131	74819371	146264361	185617712	1375656
1.000446217	blackscholes	1	1036.8	36.5	5.048	0.969	520710725	2731491	74380553	145508222	183370086	1375211
1.484730809	blackscholes	1	1036.8	36.5	5.048	0.969	529119410	2696562	75999961	148317825	186569783	1397467
0.500172228	blackscholes	1	1036.8	36.5	5.056	0.889	519916505	2837166	74611184	145789758	185075621	1358527
1.00045274	blackscholes	1	1036.8	37	5.048	0.969	517603715	2710032	73882130	144459730	182096618	1347025
1.490724827	blackscholes	1	1036.8	36.5	5.048	1.009	532061137	2713628	76523717	149193229	188002821	1394451
0.500177597	blackscholes	1	1036.8	36.5	5.056	0.889	520862626	2852109	74455243	145709696	185170833	1360251
1.000429259	blackscholes	1	1036.8	36.5	5.048	0.969	520127837	2732405	74072354	145055444	183059633	1353298
1.474089276	blackscholes	1	1036.8	36.5	5.048	0.969	515823289	2629113	74077617	144643394	182077524	1346248
0.500233124	blackscholes	1	1132.8	37.5	5.056	0.93	550536930	2995795	78294820	153134576	194340060	1426736
1.000499895	blackscholes	1	1132.8	37	5.048	1.009	551628471	2890761	78557083	153794728	193367449	1444153
1.406178291	blackscholes	1	1132.8	37	5.048	1.009	471409524	2391623	67111889	130764767	165073031	1230373
