#Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_TAKEN	L1I_CACHE	L2D_CACHE	BUS_ACCESS	BUS_CYCLES
1.512434443	blackscholes	1036.8	38.0	5.048	0.97	14291707	1260	4715254	397847	382162	14250416
0.500167937	blackscholes	1036.8	38.5	5.056	0.728	511036813	38007	183669152	14880883	13294482	511075725
1.000504731	blackscholes	1036.8	38.5	5.056	0.93	509747678	41234	181172250	15023666	13823881	509744540
1.498525785	blackscholes	1036.8	38.5	5.048	0.969	529019445	43073	188534666	15242200	14168088	528975929
0.500238784	blackscholes	1036.8	38.0	5.056	0.889	512262435	38009	183521929	15046203	13209282	512296118
1.000513662	blackscholes	1036.8	38.5	5.048	0.969	511139193	41192	181130856	15138773	13908012	511140999
1.500844058	blackscholes	1036.8	39.0	5.048	0.969	533988039	43312	189500737	15462614	14300185	533944878
1.508293046	blackscholes	1036.8	38.5	5.048	0.969	8320810	646	2725642	233055	230340	8320740
0.500224581	blackscholes	1132.8	38.0	5.048	0.928	549105788	40443	194425362	15922404	14116862	549144889
1.000565883	blackscholes	1132.8	38.5	5.04	1.008	551398896	44146	193970875	16091353	14746206	551394987
1.396231671	blackscholes	1132.8	38.5	5.04	1.048	460307172	37171	162232721	13141060	12079885	460264315
0.500235226	blackscholes	1132.8	38.5	5.056	0.889	551949863	40767	195773668	16047529	13873849	551990625
1.000497066	blackscholes	1132.8	39.0	5.048	1.009	555436426	44668	195342988	16223559	14749006	555429826
1.397262554	blackscholes	1132.8	39.0	5.048	1.049	458681042	36918	161236348	13106291	12066384	458639124
0.500169882	blackscholes	1132.8	38.5	5.056	0.808	549021972	40479	194534921	15879773	13983983	549059415
1.000434087	blackscholes	1132.8	39.0	5.048	1.009	542709632	43247	190803814	15832119	14376489	542705245
1.417677095	blackscholes	1132.8	38.5	5.048	1.049	482770322	38972	170081616	13768542	12589301	482729545
0.500159386	blackscholes	1224.0	38.5	5.04	1.008	591939696	43364	206429160	16823545	14847579	591980162
1.000479295	blackscholes	1224.0	39.0	5.032	1.209	604460018	48020	209740770	17234023	15890530	604544766
1.311260695	blackscholes	1224.0	39.0	5.04	1.209	398481455	31590	137811010	11167805	10290902	398348730
0.500198633	blackscholes	1224.0	39.0	5.048	1.049	604046123	44469	211882811	17163170	14999138	604083709
1.000513622	blackscholes	1224.0	39.0	5.048	1.171	603769472	48054	211119421	17221423	15809988	603769418
1.296398365	blackscholes	1224.0	39.5	5.04	1.169	378434939	29867	130656954	10568008	9754618	378389952
0.500162310	blackscholes	1224.0	39.0	5.048	1.009	602405660	44132	210148214	17222430	15425282	602447379
1.000446183	blackscholes	1224.0	39.0	5.04	1.169	605206532	48098	210872892	17325414	16037428	605170769
1.295003350	blackscholes	1224.0	39.5	5.04	1.169	377731074	29746	129990294	10573527	9794521	377717516
0.500157395	blackscholes	1428.0	40.0	5.04	1.249	702088605	50573	238261387	19464053	17190203	702131838
1.000390519	blackscholes	1428.0	39.5	5.032	1.489	702939552	54463	240618624	19292928	17805048	702932055
1.158346004	blackscholes	1428.0	40.0	5.032	1.529	234674127	17915	76492574	6347626	5871637	234630467
0.500147431	blackscholes	1428.0	39.5	5.04	1.209	702854073	50888	238943944	19559212	17101714	702890342
1.000376060	blackscholes	1428.0	40.0	5.032	1.489	704230666	54570	240164484	19434307	17785759	704230478
1.143663779	blackscholes	1428.0	39.5	5.032	1.529	227018625	17244	73732915	6147237	5681224	226974704
0.500160022	blackscholes	1428.0	40.5	5.04	1.209	703414346	50675	239340633	19574751	17387657	703457596
1.000438326	blackscholes	1428.0	40.5	5.032	1.489	702987714	54200	240180995	19379115	17981789	702983206
1.144573339	blackscholes	1428.0	41.0	5.032	1.529	221402332	16711	71764334	5999943	5605377	221355855
0.500212512	blackscholes	1479.0	40.5	5.04	1.408	725262789	52161	245136560	20074612	17485288	725302433
1.000446116	blackscholes	1479.0	40.5	5.032	1.569	724901488	55472	246239492	19854517	18302703	724901549
1.118829257	blackscholes	1479.0	40.5	5.032	1.65	197160441	14945	63458600	5346541	4827975	197112819
0.500151304	blackscholes	1479.0	40.0	5.024	1.247	727315401	52460	245630523	20081103	17586886	727358956
1.000392244	blackscholes	1479.0	41.0	5.024	1.567	726125265	55861	246450522	19750126	18290352	726122889
1.118056290	blackscholes	1479.0	40.5	5.016	1.645	191777551	14586	61838162	5171480	4671219	191728637
0.500154214	blackscholes	1479.0	41.0	5.04	1.29	730121655	52473	247398903	20087146	17582703	730166028
1.000464367	blackscholes	1479.0	40.0	5.032	1.569	729073659	55847	249073293	19797479	18231979	729071039
1.105707018	blackscholes	1479.0	41.0	5.032	1.65	175501314	13600	55524974	4771424	4382840	175451945
0.501339218	bodytrack	102.0	39.5	5.08	0.243	48303729	2496	23954822	1324335	1101457	48330950
1.003401681	bodytrack	102.0	39.5	5.08	0.243	48389618	4093	18098487	1811085	1541513	48390338
1.505245856	bodytrack	102.0	39.5	5.08	0.243	49347080	4201	18477762	1836955	1599007	49347843
2.010490890	bodytrack	102.0	39.5	5.08	0.243	48614996	4101	18245006	1797337	1496877	48608795
