#Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	EXC_TAKEN	BR_MIS_PRED	BUS_CYCLES
0.500444437	blackscholes	1	1428	37	5.04	1.169	701900790	185395605	236455093	49933	3632006	701938534
1.000690744	blackscholes	1	1428	36.5	5.032	1.449	703352596	192210666	238883688	54048	3454603	703353284
1.163472119	blackscholes	1	1428	37	5.032	1.529	250436743	62009972	81486396	18908	1219168	250390520
0.500145774	blackscholes	1	1428	37.5	5.04	1.209	696622864	183568106	234024047	49475	3604632	696659257
1.00081031	blackscholes	1	1428	37	5.032	1.449	702258147	191185201	237712102	53844	3459704	702261903
1.169087372	blackscholes	1	1428	37.5	5.032	1.529	259046776	64497400	84252524	19527	1245533	258998745
0.500151285	blackscholes	1	1479	37.5	5.032	1.249	729525980	191901611	244550832	52002	3747877	729566102
1.000402989	blackscholes	1	1479	37.5	5.032	1.569	726812951	198128809	245032718	55361	3513843	726812207
1.126497057	blackscholes	1	1479	38	5.024	1.607	203545314	47826776	64374115	15252	979547	203498082
0.500207475	blackscholes	1	1479	37.5	5.032	1.368	726416874	190936509	244119488	51857	3766368	726461277
1.000456774	blackscholes	1	1479	38	5.032	1.569	729912099	199304863	247186636	55472	3556010	729904819
1.110522109	blackscholes	1	1479	38	5.024	1.607	186029800	43563210	59370834	14257	921372	185984844
0.500134964	blackscholes	1	1479	37.5	5.04	1.449	724900170	191078272	243476708	51521	3732423	724896677
1.000398629	blackscholes	1	1479	38	5.024	1.607	729244179	198689370	245809729	55528	3530869	729288367
1.125478504	blackscholes	1	1479	38	5.024	1.607	204945544	49097356	65867724	15462	1002725	204897219
0.5009482	bodytrack	1	102	36.5	5.08	0.243	49988417	23764940	24681526	2630	278527	50016909
1.003499194	bodytrack	1	102	36.5	5.08	0.203	49517530	13268035	18363383	4167	328317	49559736
1.505488092	bodytrack	1	102	37	5.072	0.203	50662793	13855279	18945618	4165	335911	50622135
2.007864916	bodytrack	1	102	37	5.08	0.203	51232160	14215341	19202106	4301	331230	51231197
2.509840063	bodytrack	1	102	36.5	5.08	0.202	51165677	14563314	19481698	4187	330462	51146446
3.011931463	bodytrack	1	102	36.5	5.08	0.202	49295498	14321234	18798374	3995	318326	49283384
0.501160692	bodytrack	1	102	37	5.08	0.243	49437965	23596959	24386496	2538	269337	49466572
1.003191975	bodytrack	1	102	36.5	5.08	0.203	51212879	13807660	19080371	4382	337390	51212284
1.505157788	bodytrack	1	102	36.5	5.08	0.203	51431867	14209863	19344040	4320	338381	51432760
2.007184279	bodytrack	1	102	36.5	5.08	0.243	51424091	14406904	19476925	4365	339869	51423734
2.510356888	bodytrack	1	102	36.5	5.08	0.203	50861388	14559237	19378935	4163	333531	50862159
3.011948995	bodytrack	1	102	36.5	5.08	0.203	51566986	14988628	19798544	4243	333426	51567307
0.501039116	bodytrack	1	102	36.5	5.08	0.243	49398145	23647181	24472722	2595	273378	49426537
1.003196224	bodytrack	1	102	36.5	5.08	0.203	50635209	13684904	18940474	4300	339880	50634799
1.505131712	bodytrack	1	102	37	5.08	0.203	50464650	13996356	19051805	4260	333067	50467007
2.00696376	bodytrack	1	102	36.5	5.08	0.203	51158125	14302544	19361330	4335	338946	51156297
2.508855757	bodytrack	1	102	36.5	5.08	0.203	50724703	14562989	19355788	4137	332066	50724062
0.500773579	bodytrack	1	204	36.5	5.072	0.324	101999356	37909132	44139956	7053	609911	102030737
1.002029564	bodytrack	1	204	36.5	5.072	0.324	102183830	28417221	38382173	8569	654810	102183245
1.502876738	bodytrack	1	204	36.5	5.072	0.324	102594679	30066191	39452524	8526	652604	102593837
2.003744016	bodytrack	1	204	36.5	5.072	0.284	102010165	29761138	39053454	8621	643478	102007743
2.504769006	bodytrack	1	204	36.5	5.072	0.284	100549691	30265265	38860817	8659	616750	100549495
3.005994104	bodytrack	1	204	36.5	5.072	0.324	102308952	30706714	39522992	8850	630152	102308248
3.50683685	bodytrack	1	204	36.5	5.072	0.284	103022694	31120911	39898277	9180	623628	103020517
4.007668084	bodytrack	1	204	36.5	5.072	0.284	102528743	31869828	40198121	8975	615700	102528791
4.508666719	bodytrack	1	204	36	5.072	0.324	102809150	32236193	40370060	9158	605625	102807638
5.010641467	bodytrack	1	204	36.5	5.072	0.284	102805486	32712811	40573049	9124	607834	102807572
5.511484317	bodytrack	1	204	36.5	5.072	0.284	103185588	33140943	41021967	9002	609305	103183826
6.012509878	bodytrack	1	204	36	5.08	0.284	101495460	33167004	40597433	8869	590834	101496123
6.513437156	bodytrack	1	204	36	5.08	0.284	102519848	33683335	41586572	8397	610718	102517386
7.015215337	bodytrack	1	204	36.5	5.072	0.284	123632078	32783530	44212610	10285	652936	123639666
7.516363869	bodytrack	1	204	36.5	5.072	0.284	102127659	40484091	53538776	2002	229678	102129721
8.017418493	bodytrack	1	204	36.5	5.08	0.284	104127247	40151072	46740006	1435	41848	104127106
8.122976271	bodytrack	1	204	36.5	5.08	0.284	24296102	7680149	8594912	1904	96781	24255452
0.50055768	bodytrack	1	204	36.5	5.072	0.324	100584057	37606080	43519780	7012	603337	100616212
1.001509795	bodytrack	1	204	36.5	5.072	0.324	101923365	28274423	38265798	8516	647547	101897297
1.502485296	bodytrack	1	204	36	5.072	0.284	102709864	30049578	39395226	8531	647337	102735003
2.003516215	bodytrack	1	204	36	5.072	0.324	101283387	29684479	38747287	8633	627322	101277409
2.50471172	bodytrack	1	204	36	5.072	0.284	101954560	30611188	39302042	8776	619231	101956951
3.005571593	bodytrack	1	204	36	5.072	0.284	102004086	30608986	39276787	8897	621273	102001894
3.506769026	bodytrack	1	204	36.5	5.072	0.284	101267489	30674029	39146487	8941	610582	101267555
4.007592804	bodytrack	1	204	36	5.072	0.284	102039591	31421821	39662434	9003	606320	102008569
4.508977948	bodytrack	1	204	36.5	5.072	0.324	102909940	32504407	40505677	9142	596917	102937921
5.009917718	bodytrack	1	204	36	5.072	0.284	102217325	32393701	40203424	9022	598556	102221027
5.510949521	bodytrack	1	204	36	5.072	0.324	102952973	32766746	40547662	9154	598086	102951209
6.011920489	bodytrack	1	204	36.5	5.072	0.284	101033105	32909202	40305820	8762	579989	101030046
6.512968021	bodytrack	1	204	36.5	5.072	0.324	101453360	32409681	40399255	8509	595952	101431080
