Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	BUS_CYCLES	BUS_ACCESS_PERIPH	BR_RETURN_SPEC
2.001418980	blackscholes	614.4	35.0	5.056	0.647	308242332	94994830	117045770	308239755	1506	5089327
2.367992673	blackscholes	614.4	35.0	5.064	0.648	246802977	69481837	90400112	246779859	1193	3911271
0.500224561	blackscholes	614.4	35.0	5.064	0.607	304790663	91776600	115948755	304811404	1367	4909003
1.000612978	blackscholes	614.4	35.0	5.064	0.648	306449190	87567324	112931897	306449004	1492	4889296
1.500953843	blackscholes	614.4	35.0	5.064	0.648	307240670	90724878	114502856	307239981	1343	4971550
2.001292311	blackscholes	614.4	35.0	5.056	0.647	306182065	93737282	115749477	306179094	1298	5033917
2.385436612	blackscholes	614.4	35.0	5.064	0.648	254981526	72255423	93593673	254956672	1106	4048668
0.500205133	blackscholes	710.4	35.0	5.064	0.648	353942952	104385796	132629396	353964634	1390	5601190
1.000607822	blackscholes	710.4	35.0	5.056	0.728	357013756	101469438	130546650	357012442	1297	5628636
1.500908060	blackscholes	710.4	35.5	5.056	0.728	356176658	105909424	132406563	356172634	1317	5729893
2.001318249	blackscholes	710.4	35.5	5.056	0.728	373001266	110821806	138990798	373004126	1532	5978751
2.057953325	blackscholes	710.4	35.0	5.056	0.728	45316995	10674689	15061133	45289853	217	677168
0.500285655	blackscholes	710.4	35.5	5.056	0.728	357722598	106206636	134403347	357744889	1255	5760223
1.000640582	blackscholes	710.4	35.5	5.056	0.728	357002070	101273941	130157480	357002369	1298	5679819
1.500994103	blackscholes	710.4	35.5	5.056	0.728	357955822	106762590	133006638	357950406	1463	5821385
2.001405021	blackscholes	710.4	35.5	5.056	0.728	369938302	110867447	138002163	369975404	1420	6014770
2.069160942	blackscholes	710.4	35.5	5.056	0.728	58491700	13629599	19511179	58429766	201	871455
0.500213622	blackscholes	710.4	35.5	5.064	0.687	356803743	105604033	134089458	356825001	1349	5689954
1.000565424	blackscholes	710.4	35.5	5.056	0.728	356978145	101617046	130559261	356976150	1299	5654366
1.500926602	blackscholes	710.4	35.5	5.056	0.728	357792468	106707265	133141927	357792523	1288	5783048
2.001314134	blackscholes	710.4	35.5	5.056	0.728	358742984	107315191	134058284	358739139	1408	5786268
2.067257414	blackscholes	710.4	35.5	5.056	0.728	57108993	13222009	19036748	57085652	218	842561
0.500256904	blackscholes	921.6	35.5	5.056	0.808	462881597	131372018	167516783	462904465	1404	7169575
1.000540007	blackscholes	921.6	36.0	5.056	0.889	460923103	128953226	164185394	460919653	1457	7141847
1.500791234	blackscholes	921.6	36.0	5.048	0.888	461051073	137165814	168825285	461048418	1465	7351468
